id,word,part_of_speech,modern_definition,usage_example,is_mastered,date_added,story_text
443,attest,verb,to provide evidence or proof of something; to bear witness.,The ancient ruins attest to the glory of a long-vanished civilization.,f,2025-10-25 18:31:27.078469,
444,testify,,,,f,2025-10-25 18:31:27.268562,
446,confirm,,,,f,2025-10-25 18:31:27.280146,
447,certify,,,,f,2025-10-25 18:31:27.305319,
448,validate,,,,f,2025-10-25 18:31:27.320696,
449,affirm,,,,f,2025-10-25 18:31:27.337773,
450,deny,,,,f,2025-10-25 18:31:27.356323,
451,refute,,,,f,2025-10-25 18:31:27.362406,
452,dispute,,,,f,2025-10-25 18:31:27.366335,
453,contradict,,,,f,2025-10-25 18:31:27.384763,
454,testament,,,,f,2025-10-25 18:31:27.389232,
456,attestation,,,,f,2025-10-25 18:31:27.392113,
457,pall,"noun, verb","(noun) a heavy, dark cloth covering; a gloomy atmosphere. (verb) to become dull or less interesting.",A pall of smoke hung over the city. The excitement began to pall after the third hour.,f,2025-10-25 18:31:27.455683,
458,shroud,,,,f,2025-10-25 18:31:27.456588,
459,cloud,,,,f,2025-10-25 18:31:27.458181,
460,gloom,,,,f,2025-10-25 18:31:27.459522,
461,melancholy,,,,f,2025-10-25 18:31:27.460723,
462,envelope,,,,f,2025-10-25 18:31:27.461859,
463,brightness,,,,f,2025-10-25 18:31:27.462946,
464,cheer,,,,f,2025-10-25 18:31:27.463732,
465,joy,,,,f,2025-10-25 18:31:27.4646,
466,lightness,,,,f,2025-10-25 18:31:27.465533,
467,appal,,,,f,2025-10-25 18:31:27.466413,
468,pale,,,,f,2025-10-25 18:31:27.467787,
469,lumbering,adjective,"moving in a slow, heavy, awkward way.",The lumbering bear crashed through the undergrowth.,f,2025-10-25 18:31:27.499625,
470,clumsy,,,,f,2025-10-25 18:31:27.500452,
471,awkward,,,,f,2025-10-25 18:31:27.502625,
472,ungainly,,,,f,2025-10-25 18:31:27.505347,
473,clodding,,,,f,2025-10-25 18:31:27.506646,
474,plodding,,,,f,2025-10-25 18:31:27.508266,
475,graceful,,,,f,2025-10-25 18:31:27.509406,
476,agile,,,,f,2025-10-25 18:31:27.510139,
477,nimble,,,,f,2025-10-25 18:31:27.510876,
478,elegant,,,,f,2025-10-25 18:31:27.514482,
479,swift,,,,f,2025-10-25 18:31:27.515246,
480,lumber,,,,f,2025-10-25 18:31:27.516307,
483,scurry,"verb, noun","(verb) to move hurriedly with short, quick steps. (noun) a hurried movement or activity.",The mice scurry into their holes when they hear a sound.,f,2025-10-25 18:31:27.544113,
484,hurry,,,,f,2025-10-25 18:31:27.54554,
485,rush,,,,f,2025-10-25 18:31:27.548921,
486,dart,,,,f,2025-10-25 18:31:27.551969,
487,dash,,,,f,2025-10-25 18:31:27.553569,
488,scuttle,,,,f,2025-10-25 18:31:27.555031,
489,amble,,,,f,2025-10-25 18:31:27.556363,
490,saunter,,,,f,2025-10-25 18:31:27.558395,
491,stroll,,,,f,2025-10-25 18:31:27.561337,
492,linger,,,,f,2025-10-25 18:31:27.562611,
496,steadfast,adjective,"resolutely unwavering in purpose, loyalty, or faith; firmly fixed in place.",She remained steadfast in her commitment to justice.,f,2025-10-25 18:31:27.607119,
497,loyal,,,,f,2025-10-25 18:31:27.608596,
498,faithful,,,,f,2025-10-25 18:31:27.611243,
499,constant,,,,f,2025-10-25 18:31:27.613015,
500,unwavering,,,,f,2025-10-25 18:31:27.61769,
501,resolute,,,,f,2025-10-25 18:31:27.619884,
502,firm,,,,f,2025-10-25 18:31:27.621367,
503,fickle,,,,f,2025-10-25 18:31:27.622792,
504,unreliable,,,,f,2025-10-25 18:31:27.623755,
505,wavering,,,,f,2025-10-25 18:31:27.624777,
506,inconstant,,,,f,2025-10-25 18:31:27.625694,
507,unstable,,,,f,2025-10-25 18:31:27.626588,
508,steady,,,,f,2025-10-25 18:31:27.627586,
509,stead,,,,f,2025-10-25 18:31:27.628645,
510,stand,,,,f,2025-10-25 18:31:27.631704,
511,elucidate,verb,to make clear and explain; to shed light on something that is obscure or difficult to understand.,The professor elucidated the complex theory in terms that everyone could understand.,f,2025-10-25 18:31:27.642254,
512,explain,,,,f,2025-10-25 18:31:27.646223,
513,clarify,,,,f,2025-10-25 18:31:27.647567,
514,illuminate,,,,f,2025-10-25 18:31:27.649078,
515,expound,,,,f,2025-10-25 18:31:27.663944,
516,unfold,,,,f,2025-10-25 18:31:27.666907,
517,explicate,,,,f,2025-10-25 18:31:27.669817,
519,confuse,,,,f,2025-10-25 18:31:27.676547,
520,muddle,,,,f,2025-10-25 18:31:27.68002,
521,bewilder,,,,f,2025-10-25 18:31:27.680973,
522,complicate,,,,f,2025-10-25 18:31:27.681866,
523,lucid,,,,f,2025-10-25 18:31:27.682804,
524,lucidity,,,,f,2025-10-25 18:31:27.683797,
525,elucidation,,,,f,2025-10-25 18:31:27.684693,
526,translucent,,,,f,2025-10-25 18:31:27.685619,
527,plausible,adjective,seeming reasonable or probable; appearing worthy of belief or acceptance.,"Her explanation sounded plausible, but we needed more evidence.",f,2025-10-25 18:31:27.715933,
528,credible,,,,f,2025-10-25 18:31:27.716865,
529,believable,,,,f,2025-10-25 18:31:27.722982,
530,reasonable,,,,f,2025-10-25 18:31:27.724315,
531,convincing,,,,f,2025-10-25 18:31:27.725463,
532,persuasive,,,,f,2025-10-25 18:31:27.726474,
533,specious,,,,f,2025-10-25 18:31:27.728486,
534,implausible,,,,f,2025-10-25 18:31:27.729713,
535,incredible,,,,f,2025-10-25 18:31:27.730496,
536,unbelievable,,,,f,2025-10-25 18:31:27.73136,
537,absurd,,,,f,2025-10-25 18:31:27.732176,
538,ridiculous,,,,f,2025-10-25 18:31:27.73314,
539,applaud,,,,f,2025-10-25 18:31:27.734287,
540,plaudit,,,,f,2025-10-25 18:31:27.735267,
541,applause,,,,f,2025-10-25 18:31:27.736216,
542,ubiquitous,adjective,"present, appearing, or found everywhere; extremely common or widespread.",Smartphones have become ubiquitous in modern life.,f,2025-10-25 18:31:27.745155,
543,omnipresent,,,,f,2025-10-25 18:31:27.745817,
544,pervasive,,,,f,2025-10-25 18:31:27.746979,
545,everywhere,,,,f,2025-10-25 18:31:27.748134,
546,universal,,,,f,2025-10-25 18:31:27.749363,
547,commonplace,,,,f,2025-10-25 18:31:27.750673,
548,rare,,,,f,2025-10-25 18:31:27.752131,
549,scarce,,,,f,2025-10-25 18:31:27.753013,
550,uncommon,,,,f,2025-10-25 18:31:27.753803,
551,unusual,,,,f,2025-10-25 18:31:27.754913,
552,absent,,,,f,2025-10-25 18:31:27.756155,
553,ubiquity,,,,f,2025-10-25 18:31:27.759278,
554,ubiquitously,,,,f,2025-10-25 18:31:27.760536,
