id,word,part_of_speech,modern_definition,usage_example,synonyms,antonyms,collocations,french_equivalent,russian_equivalent,cefr_level,pronunciation,is_mastered,date_added,story_text,contrastive_opening,structural_analysis,common_collocations,metadata,definitions,variant_forms,semantic_field,english_synonyms,english_antonyms,french_synonyms,french_root_cognates,russian_synonyms,russian_root_cognates,common_phrases,story_intro,learning_status
542,ubiquitous,adjective,"present, appearing, or found everywhere; extremely common or widespread.",Smartphones have become ubiquitous in modern life.,"{omnipresent,pervasive,everywhere,universal,commonplace}","{rare,scarce,uncommon,unusual,absent}",{},ubiquitaire — same meaning; 'omniprésent' as more common alternative.,"вездесущий (vezdesushchiy) — present everywhere, omnipresent.",C1,,f,2025-10-25 18:31:27.745155,,,"Ubiquitous traces the journey from divine attribute to physical property to commercial strategy to digital reality. Starting as the impossible word for divine presence, it became the ordinary word for what literally fills all spaces—from theology to actuality.","{""ubiquitous presence — appearing everywhere (formal, descriptive)"",""ubiquitous technology — widespread and constantly present tech (contemporary discourse)"",""seemingly ubiquitous — appearing to be everywhere (emphatic)""}",{},"{""primary"": ""Present or appearing everywhere at the same time."", ""tertiary"": ""Seeming to be everywhere simultaneously."", ""secondary"": ""Excessively or extremely common or widespread.""}","{ubiquity,ubiquitously}","{presence,pervasiveness,omnipresence,universality,commonness}",{},{},"{omniprésent,répandu,généralisé}","{""partout — everywhere""}","{вездесущий,повсеместный,всепроникающий}","{""везде — everywhere"",""существовать — to exist""}","{""ubiquitous presence — appearing everywhere simultaneously."",""ubiquitous technology — widespread and constantly accessible tech infrastructure."",""seemingly ubiquitous — appearing to exist in all places.""}","Ubiquitous has learned to be everywhere without ever leaving himself behind. He multiplies without reducing, spreads without thinning. You find him in the repeated logo, in the phrase everyone knows, in the thing that cannot be escaped. He is the opposite of solitude—presence made infinite, identity distributed across all spaces until space itself becomes his name.",unmastered
543,omnipresent,,,,,,{},,,,,f,2025-10-25 18:31:27.745817,,,,,,,,,,,,,,,,,unmastered
544,pervasive,,,,,,{},,,,,f,2025-10-25 18:31:27.746979,,,,,,,,,,,,,,,,,unmastered
545,everywhere,,,,,,{},,,,,f,2025-10-25 18:31:27.748134,,,,,,,,,,,,,,,,,unmastered
546,universal,,,,,,{},,,,,f,2025-10-25 18:31:27.749363,,,,,,,,,,,,,,,,,unmastered
547,commonplace,,,,,,{},,,,,f,2025-10-25 18:31:27.750673,,,,,,,,,,,,,,,,,unmastered
548,rare,,,,,,{},,,,,f,2025-10-25 18:31:27.752131,,,,,,,,,,,,,,,,,unmastered
549,scarce,,,,,,{},,,,,f,2025-10-25 18:31:27.753013,,,,,,,,,,,,,,,,,unmastered
550,uncommon,,,,,,{},,,,,f,2025-10-25 18:31:27.753803,,,,,,,,,,,,,,,,,unmastered
551,unusual,,,,,,{},,,,,f,2025-10-25 18:31:27.754913,,,,,,,,,,,,,,,,,unmastered
552,absent,,,,,,{},,,,,f,2025-10-25 18:31:27.756155,,,,,,,,,,,,,,,,,unmastered
553,ubiquity,,,,,,{},,,,,f,2025-10-25 18:31:27.759278,,,,,,,,,,,,,,,,,unmastered
57,prominent,,,,,,{},,,,,f,2025-10-20 22:04:31.815294,,,,,,,,,,,,,,,,,unmastered
58,notable,,,,,,{},,,,,f,2025-10-20 22:04:31.816571,,,,,,,,,,,,,,,,,unmastered
59,striking,,,,,,{},,,,,f,2025-10-20 22:04:31.817718,,,,,,,,,,,,,,,,,unmastered
60,conspicuous,,,,,,{},,,,,f,2025-10-20 22:04:31.818872,,,,,,,,,,,,,,,,,unmastered
61,remarkable,,,,,,{},,,,,f,2025-10-20 22:04:31.820042,,,,,,,,,,,,,,,,,unmastered
62,outstanding,,,,,,{},,,,,f,2025-10-20 22:04:31.821173,,,,,,,,,,,,,,,,,unmastered
64,inconspicuous,,,,,,{},,,,,f,2025-10-20 22:04:31.823093,,,,,,,,,,,,,,,,,unmastered
65,hidden,,,,,,{},,,,,f,2025-10-20 22:04:31.823859,,,,,,,,,,,,,,,,,unmastered
66,minor,,,,,,{},,,,,f,2025-10-20 22:04:31.824574,,,,,,,,,,,,,,,,,unmastered
67,salience,,,,,,{},,,,,f,2025-10-20 22:04:31.825431,,,,,,,,,,,,,,,,,unmastered
68,saliently,,,,,,{},,,,,f,2025-10-20 22:04:31.826267,,,,,,,,,,,,,,,,,unmastered
69,resilient,,,,,,{},,,,,f,2025-10-20 22:04:31.827069,,,,,,,,,,,,,,,,,unmastered
71,cursory,,,,,,{},,,,,f,2025-10-20 22:04:31.836264,,,,,,,,,,,,,,,,,unmastered
72,mechanical,,,,,,{},,,,,f,2025-10-20 22:04:31.837361,,,,,,,,,,,,,,,,,unmastered
73,superficial,,,,,,{},,,,,f,2025-10-20 22:04:31.83836,,,,,,,,,,,,,,,,,unmastered
74,indifferent,,,,,,{},,,,,f,2025-10-20 22:04:31.839426,,,,,,,,,,,,,,,,,unmastered
75,unthinking,,,,,,{},,,,,f,2025-10-20 22:04:31.840388,,,,,,,,,,,,,,,,,unmastered
76,thorough,,,,,,{},,,,,f,2025-10-20 22:04:31.841436,,,,,,,,,,,,,,,,,unmastered
77,careful,,,,,,{},,,,,f,2025-10-20 22:04:31.842253,,,,,,,,,,,,,,,,,unmastered
78,deliberate,,,,,,{},,,,,f,2025-10-20 22:04:31.843126,,,,,,,,,,,,,,,,,unmastered
79,attentive,,,,,,{},,,,,f,2025-10-20 22:04:31.843914,,,,,,,,,,,,,,,,,unmastered
80,conscientious,,,,,,{},,,,,f,2025-10-20 22:04:31.844677,,,,,,,,,,,,,,,,,unmastered
187,verisimilitude,noun,the appearance or quality of being true or real; the quality of seeming to be true.,The novel's verisimilitude made readers believe the events had actually occurred.,"{plausibility,believability,realism,authenticity,credibility}","{implausibility,incredibility,unreality,falseness}",{},vraisemblance — the appearance of truth; used in literature and philosophy.,"правдоподобие (pravdopodobie) — truthlikeness, plausibility.",C2,,f,2025-10-21 14:12:26.362174,,,"Verisimilitude traces the journey from philosophical category to aesthetic principle to technological standard. Born in rhetoric's gray zone between truth and persuasion, she became the measure by which we judge what feels real—proof that likeness can be as powerful as truth itself.","{""verisimilitude in fiction — believability in storytelling (literary criticism)"",""lack verisimilitude — fail to seem realistic or plausible (critique)"",""lend verisimilitude — add realistic detail to enhance believability (craft)""}",{},"{""primary"": ""The appearance or semblance of truth; the quality of appearing to be true or real."", ""tertiary"": ""In philosophy and law: the quality of being probable or likely based on available evidence."", ""secondary"": ""In literature and art: lifelike quality that makes fiction believable.""}",{verisimilar},"{truth,appearance,believability,realism,probability}",{},{},"{vraisemblance,plausibilité,crédibilité}","{""vrai — true"",""semblable — similar""}","{правдоподобие,достоверность,вероятность}","{""правда — truth"",""подобный — similar""}","{""verisimilitude in fiction — the art of believable storytelling."",""lack verisimilitude — the failure to convince or feel real."",""lend verisimilitude — to add detail that creates belief.""}","Verisimilitude wears the mask of truth without claiming to be it. She moves between the real and the crafted, making lies feel lived and fictions feel found. She isn't honesty—she's its shadow, its twin. You meet her in novels that breathe, in courtroom arguments that persuade, in designs that feel inevitable. She doesn't promise truth. She promises its likeness.",unmastered
81,function,,,,,,{},,,,,f,2025-10-20 22:04:31.845486,,,,,,,,,,,,,,,,,unmastered
82,perform,,,,,,{},,,,,f,2025-10-20 22:04:31.846292,,,,,,,,,,,,,,,,,unmastered
84,exclude,,,,,,{},,,,,f,2025-10-20 22:04:31.857018,,,,,,,,,,,,,,,,,unmastered
85,leave out,,,,,,{},,,,,f,2025-10-20 22:04:31.85808,,,,,,,,,,,,,,,,,unmastered
86,skip,,,,,,{},,,,,f,2025-10-20 22:04:31.859662,,,,,,,,,,,,,,,,,unmastered
87,neglect,,,,,,{},,,,,f,2025-10-20 22:04:31.861504,,,,,,,,,,,,,,,,,unmastered
88,ignore,,,,,,{},,,,,f,2025-10-20 22:04:31.86254,,,,,,,,,,,,,,,,,unmastered
89,include,,,,,,{},,,,,f,2025-10-20 22:04:31.863554,,,,,,,,,,,,,,,,,unmastered
90,retain,,,,,,{},,,,,f,2025-10-20 22:04:31.864263,,,,,,,,,,,,,,,,,unmastered
91,insert,,,,,,{},,,,,f,2025-10-20 22:04:31.864985,,,,,,,,,,,,,,,,,unmastered
27,cohesive,adjective,forming a united whole; characterized by or causing cohesion.,"The team was highly cohesive, working together with remarkable trust.","{unified,connected,integrated,consistent,harmonious}","{fragmented,disjointed,dispersed,incoherent,scattered,disconnected}",{},cohésif — technical term; more often 'cohérent' in everyday usage.,связный (svyaznyy) — logically or structurally connected.,B2,,f,2025-10-20 22:04:31.757824,,,"‘Cohesive’ charts how the language of matter became the language of belonging. What began in glue and grain now holds together minds, stories, and societies.","{""cohesive team — group united by trust or shared purpose (organizational use)"",""cohesive argument — logically connected reasoning (academic writing)"",""cohesive device — linguistic element linking parts of a text (linguistics)""}",{},"{""primary"": ""Forming a united whole; characterized by internal connection or consistency."", ""tertiary"": ""Logical: showing clear connection between parts of a text or argument."", ""secondary"": ""Causing cohesion or sticking together physically or metaphorically.""}","{cohesion,cohesively,cohesiveness}","{unity,connection,consistency,adhesion,solidarity}",{},{},"{cohérent,solidaire}","{adhérent,collant}","{связный,единый,сплочённый}","{""связь — connection""}","{""cohesive team — strength through shared trust."",""cohesive argument — reasoning that holds together."",""cohesive device — the invisible bridge of language between thoughts.""}","Cohesive is the hum beneath harmony—the invisible pull that makes many things one. He moves quietly between fingers clasped in work, between thoughts that fit together cleanly. He’s not loud like unity or proud like strength. He’s the unseen gravity that holds the form intact.",learned
197,verify,,,,,,{},,,,,f,2025-10-21 14:12:26.375546,,,,,,,,,,,,,,,,,unmastered
92,add,,,,,,{},,,,,f,2025-10-20 22:04:31.865678,,,,,,,,,,,,,,,,,unmastered
93,delete,,,,,,{},,,,,f,2025-10-20 22:04:31.866368,,,,,,,,,,,,,,,,,unmastered
196,falseness,,,,,,{},,,,,f,2025-10-21 14:12:26.374276,,,,,,,,,,,,,,,,,unmastered
198,similar,,,,,,{},,,,,f,2025-10-21 14:12:26.376358,,,,,,,,,,,,,,,,,unmastered
554,ubiquitously,,,,,,{},,,,,f,2025-10-25 18:31:27.760536,,,,,,,,,,,,,,,,,unmastered
199,simulate,,,,,,{},,,,,f,2025-10-21 14:12:26.377093,,,,,,,,,,,,,,,,,unmastered
200,versimilar,,,,,,{},,,,,f,2025-10-21 14:12:26.377857,,,,,,,,,,,,,,,,,unmastered
56,salient,adjective,most noticeable or important; prominent or striking.,The most salient feature of the proposal was its emphasis on sustainability.,"{prominent,notable,striking,conspicuous,remarkable,outstanding}","{obscure,inconspicuous,hidden,minor}",{},saillant — literally 'leaping out'; used for prominence or protrusion.,"выдающийся (vydaiushchiysya) — prominent, remarkable.",C1,,t,2025-10-20 22:04:31.814598,,,"‘Salient’ traces the conversion of motion into meaning. Born in the leap of bodies and fountains, it became the figure for prominence in thought—a standing reminder that every idea once sprang from life’s movement.","{""salient feature — most prominent aspect (analysis, design)"",""salient point — main or central argument (rhetoric)"",""salient angle — projecting angle in military or architectural use (historical)"",""most salient — intensifier for central importance (journalism, commentary)""}",{},"{""primary"": ""Most noticeable or important; standing out prominently."", ""tertiary"": ""Figurative: striking or leaping to attention through force or clarity."", ""secondary"": ""Projecting outward, as in a salient angle or bulge.""}","{salience,saliently}","{prominence,emphasis,projection,distinctness,visibility}",{},{},"{saillant,remarquable}","{""sauter — to leap"",""ressortir — to stand out""}","{выдающийся,""бросающийся в глаза""}","{""сальто — borrowed from Italian salto (leap)""}","{""salient point — the idea that leaps to mind."",""salient feature — what stands out in view or argument."",""salient angle — projection toward encounter or risk."",""most salient — the peak of prominence.""}","Salient is the leap made visible—the instant something crosses from hidden to seen. He’s the flash in the mind, the outcrop on the plain. He doesn’t whisper for attention; he springs toward it. Wherever meaning wants to be found, Salient has already taken a step forward.",learned
444,testify,,,,,,{},,,,,f,2025-10-25 18:31:27.268562,,,,,,,,,,,,,,,,,unmastered
188,plausibility,,,,,,{},,,,,f,2025-10-21 14:12:26.362997,,,,,,,,,,,,,,,,,unmastered
189,believability,,,,,,{},,,,,f,2025-10-21 14:12:26.365508,,,,,,,,,,,,,,,,,unmastered
190,realism,,,,,,{},,,,,f,2025-10-21 14:12:26.367003,,,,,,,,,,,,,,,,,unmastered
191,authenticity,,,,,,{},,,,,f,2025-10-21 14:12:26.369436,,,,,,,,,,,,,,,,,unmastered
192,credibility,,,,,,{},,,,,f,2025-10-21 14:12:26.370583,,,,,,,,,,,,,,,,,unmastered
193,implausibility,,,,,,{},,,,,f,2025-10-21 14:12:26.371766,,,,,,,,,,,,,,,,,unmastered
194,incredibility,,,,,,{},,,,,f,2025-10-21 14:12:26.372604,,,,,,,,,,,,,,,,,unmastered
195,unreality,,,,,,{},,,,,f,2025-10-21 14:12:26.373396,,,,,,,,,,,,,,,,,unmastered
443,attest,verb,to provide evidence or proof of something; to bear witness.,The ancient ruins attest to the glory of a long-vanished civilization.,"{testify,verify,confirm,certify,validate,affirm}","{deny,refute,dispute,contradict}",{},"attester — formal verification, legal or official confirmation.",свидетельствовать (svidetel'stvovat') — to testify or give evidence.,C1,,f,2025-10-25 18:31:27.078469,,,"Attest shows how truth moved from the witness's body to the document's seal. It's the story of presence becoming proof, of the human voice becoming institutional record.","{""attest to — provide evidence of something (formal writing, academic)"",""attest that — formally declare or certify (legal, official documents)"",""attest by — verify through specific means or witnesses (legal testimony)""}",{},"{""primary"": ""To provide clear evidence or proof of something's existence or truth."", ""tertiary"": ""To serve as a witness or testimony to a fact or event."", ""secondary"": ""To declare or certify as true, especially in a formal or official context.""}","{attestation,attested,attesting}","{evidence,proof,verification,witness,confirmation}",{},{},"{témoigner,certifier,confirmer}","{""témoin — witness"",testament}","{свидетельствовать,подтверждать,удостоверять}","{""свидетель — witness"",""засвидетельствовать — to certify""}","{""attest to — provide evidence of something's truth or existence."",""attest that — formally declare or certify a statement."",""attested by — verified or confirmed through specific means or witnesses.""}","Attest holds up the mirror to truth. He's the standing stone that says yes—this happened, this is real, I was there. He speaks with the weight of presence. You find him in courts and archives, in sworn statements and ancient scrolls. He doesn't argue; he simply stands before what he has witnessed and will not look away.",unmastered
446,confirm,,,,,,{},,,,,f,2025-10-25 18:31:27.280146,,,,,,,,,,,,,,,,,unmastered
447,certify,,,,,,{},,,,,f,2025-10-25 18:31:27.305319,,,,,,,,,,,,,,,,,unmastered
448,validate,,,,,,{},,,,,f,2025-10-25 18:31:27.320696,,,,,,,,,,,,,,,,,unmastered
449,affirm,,,,,,{},,,,,f,2025-10-25 18:31:27.337773,,,,,,,,,,,,,,,,,unmastered
450,deny,,,,,,{},,,,,f,2025-10-25 18:31:27.356323,,,,,,,,,,,,,,,,,unmastered
451,refute,,,,,,{},,,,,f,2025-10-25 18:31:27.362406,,,,,,,,,,,,,,,,,unmastered
452,dispute,,,,,,{},,,,,f,2025-10-25 18:31:27.366335,,,,,,,,,,,,,,,,,unmastered
453,contradict,,,,,,{},,,,,f,2025-10-25 18:31:27.384763,,,,,,,,,,,,,,,,,unmastered
454,testament,,,,,,{},,,,,f,2025-10-25 18:31:27.389232,,,,,,,,,,,,,,,,,unmastered
456,attestation,,,,,,{},,,,,f,2025-10-25 18:31:27.392113,,,,,,,,,,,,,,,,,unmastered
457,pall,"noun, verb","(noun) a heavy, dark cloth covering; a gloomy atmosphere. (verb) to become dull or less interesting.",A pall of smoke hung over the city. The excitement began to pall after the third hour.,"{shroud,cloud,gloom,melancholy,envelope}","{brightness,cheer,joy,lightness}",{},"voile — literally 'veil,' figuratively a covering or obscuring element.","покров (pokrov) — a covering or shroud, often somber.",C1,,f,2025-10-25 18:31:27.455683,,,"Pall moved from luxury cloth to funeral shroud to emotional atmosphere. It's the story of covering: first bodies, then feelings, then energy itself.","{""pall of smoke — thick, heavy smoke covering an area (descriptive writing)"",""cast a pall over — create a gloomy atmosphere (figurative, metaphorical)"",""pall on — become tiresome or less appealing (verb usage, informal)""}",{},"{""primary"": ""A heavy, dark cloth used to cover something, especially in death or mourning."", ""tertiary"": ""(verb) To become less interesting or lose appeal; to grow wearisome."", ""secondary"": ""A depressing or gloomy atmosphere that seems to hang over something.""}","{palled,palling}","{covering,gloom,darkness,mourning,weariness}",{},{},"{voile,tristesse,mélancolie}","{""pâle — pale""}","{покров,пелена,мрак}","{""бледный — pale""}","{""pall of smoke — thick, dark smoke covering an area."",""cast a pall over — create a gloomy or depressing atmosphere."",""pall on someone — become tiresome or less interesting to them.""}","Pall is the gentle suffocation of things. He's the cloth that covers the coffin, the cloud that dims the sun. He doesn't attack; he settles. You feel his weight in tired hours and grey mornings. He's patient in his work—the slow draining of light, the gradual stilling of sound. He makes quiet spaces where energy once was.",unmastered
458,shroud,,,,,,{},,,,,f,2025-10-25 18:31:27.456588,,,,,,,,,,,,,,,,,unmastered
459,cloud,,,,,,{},,,,,f,2025-10-25 18:31:27.458181,,,,,,,,,,,,,,,,,unmastered
460,gloom,,,,,,{},,,,,f,2025-10-25 18:31:27.459522,,,,,,,,,,,,,,,,,unmastered
461,melancholy,,,,,,{},,,,,f,2025-10-25 18:31:27.460723,,,,,,,,,,,,,,,,,unmastered
462,envelope,,,,,,{},,,,,f,2025-10-25 18:31:27.461859,,,,,,,,,,,,,,,,,unmastered
463,brightness,,,,,,{},,,,,f,2025-10-25 18:31:27.462946,,,,,,,,,,,,,,,,,unmastered
470,clumsy,,,,,,{},,,,,f,2025-10-25 18:31:27.500452,,,,,,,,,,,,,,,,,unmastered
